Id;Navn;OSM tag;Ekstra tags (not used);Beskrivelse
111;Enebolig;building=house;;Frittliggende bygning med kun en boligenhet.
112;Enebolig m/hybel/sokkelleilighet;building=house;;Enebolig som i tillegg inneholder en eller flere hybler el.l., som minimum dekkes av SSB?s krav til hybel. (Bygningen må fremstå som en enebolig)
113;Våningshus;building=farm;;Enebolig på gårdsbruk, kan også omfatte enebolig med hybelleilighet, sokkelleilighet ol 
121;Tomannsbolig, vertikaldelt;building=semidetached_house;;Dette gjelder bolighus med to boliger, inkl. våningshus på gårdsbruk. Tomannsboligen kan i tillegg inneholde en eller  flere hybler eller lignende som minimum dekkes av SSB`s krav til hybel. (Bygningen må framstå som en tomannsbolig).En tomannsbolig kan ha vertikalt eller horisontalt boligskille. Vertikaldelt tomannsbolig skal ha to bygningspunkt i GAB. Bygningen er frittliggende, og boligene kan ha separat eller felles inngang. 
122;Tomannsbolig, horisontaldelt;building=house;;Dette gjelder bolighus med to boliger, inkl. våningshus på gårdsbruk. Tomannsboligen kan i tillegg inneholde en eller  flere hybler eller lignende som minimum dekkes av SSB`s krav til hybel. (Bygningen må framstå som en tomannsbolig).En tomannsbolig kan ha vertikalt eller horisontalt boligskille. Vertikaldelt tomannsbolig skal ha to bygningspunkt i GAB. Bygningen er frittliggende, og boligene kan ha separat eller felles inngang. 
123;Våningshus tomannsbolig - vertikaldelt;building=farm;;Dette gjelder bolighus med to boliger, inkl. våningshus på gårdsbruk. Tomannsboligen kan i tillegg inneholde en eller  flere hybler eller lignende som minimum dekkes av SSB`s krav til hybel. (Bygningen må framstå som en tomannsbolig).En tomannsbolig kan ha vertikalt eller horisontalt boligskille. Vertikaldelt tomannsbolig skal ha to bygningspunkt i GAB. Bygningen er frittliggende, og boligene kan ha separat eller felles inngang. 
124;Våningshus tomannsbolig - horisontaldelt;building=farm;;Dette gjelder bolighus med to boliger, inkl. våningshus på gårdsbruk. Tomannsboligen kan i tillegg inneholde en eller  flere hybler eller lignende som minimum dekkes av SSB`s krav til hybel. (Bygningen må framstå som en tomannsbolig).En tomannsbolig kan ha vertikalt eller horisontalt boligskille. Vertikaldelt tomannsbolig skal ha to bygningspunkt i GAB. Bygningen er frittliggende, og boligene kan ha separat eller felles inngang.
131;Rekkehus;building=terrace;;Rekkehus:Rekkehus har vertikale gjennomgående felles boligskiller og hver boligenhet skal ligge på grunnen. Rekkehus skal ikke inneholde fellesareal for eksempel tilboder eller garasje. Et rekkehus må bestå av minimum 3 boliger, den enkeltebolig har ofte 1 - 3 etasjer og separat inngang. Hver enkelt del skal ha egetbygningspunkt i GAB.
133;Kjede-, atriumhus;building=terrace;;Kjedehus: Kjedehus har vertikale boligskiller der de enkelte boligenhetene er kjedetsammen med mellombygninger, ofte garasjer eller boder. Et kjedehus må bestå avminimum 2 boliger, den enkelte bolig har ofte 1 - 3 etasjer og separat inngang. Hver enkelt del skal ha eget bygningspunkt i GAB. Kjedehus benevnes også oftesom eneboliger i kjede.  Atriumhus: Betegnelsenatriumhusbenyttes om sammenbygde hus ivinkelform. Ved hjelp av de tilstøtende ytterveggene på nabohusene og/ellerlevegger får hvert enkelt hus et skjermet og innelukket uteareal/hage.
135;Terrassehus;building=apartments;;Et størrebolighus i bratt terreng hvor bygningen følger hellingen i terrenget. De enkelteboligene blir dermed avtrappet eller forskjøvet i forhold til hverandre, slik atde får terrasse på taket til boligen under. Terrassehus er vanligvis ikkeavhengig av felles inngang og felles trappehus.
136;Andre småhus med 3 boliger eller flere;building=apartments;;Andre småhus med 3 boliger eller flere
141;Stort frittliggende boligbygg på 2 etg;building=apartments;;Stort frittliggende boligbygg på 2 etasjer (5 boliger eller mer)
142;Stort frittliggende boligbygg på 3 og 4 etg;building=apartments;;Stort frittliggende boligbygg på 3 og 4 etasjer (5 boliger eller mer)
143;Stort frittliggende boligbygg på 5 etg el mer;building=apartments;;Stort frittliggende bolighus på 5 etasjer eller mer (5 boliger eller mer)
144;Store sammenbygde boligbygg på 2 etg;building=apartments;;Store sammenbygde boligbygg på 2 etasjer (5 boliger eller mer)
145;Store sammenbygde boligbygg på 3 og 4 etg;building=apartments;;Store sammenbygde boligbygg på 3 og 4 etasjer (5 boliger eller mer)
146;Store sammenbygde boligbygg på 5 el mer;building=apartments;;Store sammenbygde boligbygg på 5 etasjer eller over (5 boliger eller mer)
151;Bo- og servicesenter;building=civic;amenity=social_facility + social_facility=group_home;Bo- og servicesenter. For eldre, utviklingshemmede, funksjonshemmede mv.
152;Studenthjem/studentboliger;building=dormitory;;Studenthjem / studentboliger
159;Annen bygning for bofellesskap;building=residential;;Annen bygning for bofellesskap, eller bygning som har nær tilknytning til / tjener slik(e) bygning(er)
161;Hytter, sommerhus ol fritidsbygning;building=cabin;;Hytter, sommerhus og lignende. Fritidsbygg  Her registreres også bygning med fritidsboliger hvor boligene enten er seksjonert eller på annen måte disponeres eksklusivt av fast bruker. Bruksenhetene skal registreres med bruksenhetskode ?F? fritidsbolig.
162;Helårsbolig som benyttes som fritidsbygning;building=house;;Helårsbolig utenom våningshus som benyttes som fritidsbolig.
163;Våningshus som benyttes som fritidsbygning;building=house;;Våningshus som benyttes som fritidsbolig     
171;Seterhus, sel, rorbu ol;building=cabin;;Seterhus, sel, rorbu o.l.  Rorbu, hus for fiskere til bruk under de store sesongfiskerier.
172;Skogs- og utmarkskoie, gamme;building=hut;;Skogs- og utmarkskoie , gamme  Skogs- og utmarkskoie, primitiv hytte brukt av jegere og tømmerhuggere.  Gamme, jordhytte, særlig brukt av samer.
181;Garasje, uthus, anneks til bolig;building=garage;;Garasje, uthus , anneks knyttet til bolig.  Garasje: F rittliggende bygning som primært benyttes for parkering av bil. Kan i tillegg inneholde boder o.l.  Uthus: F rittliggende bygning som benyttes til oppbevaring av redskap, ved, materialer o.l.  Anneks : Frittliggende bygg beregnet for overnatting og er ingen selvstendig boenhet for varig opphold. Det skal ikke registreres bruksareal til bolig på slike bygg.
182;Garasje, uthus, anneks til fritidsbolig;building=shed;;Garasje, uthus , anneks knyttet til fritidsbolig.  Garasje: F rittliggende bygning som primært benyttes for parkering av bil. Kan i tillegg inneholde boder o.l.  Uthus: F rittliggende bygning som benyttes til oppbevaring av redskap, ved, materialer o.l.  Anneks : Frittliggende bygg beregnet for overnatting og er ingen selvstendig boenhet for varig opphold. Det skal ikke registreres bruksareal til bolig på slike bygg.
183;Naust, båthus, sjøbu;building=boathouse;;Naust , båthus, sjøbu  Frittliggende bygning som primært benyttes til plassering av båt(er). Kan i tillegg benyttes til oppbevaring av forskjellig redskap o.l.
193;Boligbrakker;building=container;;Boligbrakke
199;Annen boligbygning (sekundærbolig reindrift);building=yes;;Annen boligbygning/sekundærbolig (f.eks. sekundærbolig reindrift)   
211;Fabrikkbygning;building=industrial;man_made=works;Bygning for industriell serieproduksjon.
212;Verkstedbygning;building=commercial;;Bygning for spesialproduksjon eller reparasjon
214;Bygning for renseanlegg;building=service;man_made=wastewater_plant;Bygning for renseanlegg, bl.a. kloakkpumpestasjon 
216;Bygning for vannforsyning;building=service;man_made=water_works;Bygning for vannforsyning, bl.a. pumpestasjon. 
